PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-05,FI,:,"3,31",:,:,:,"24.584,18","98,28","277,39",:,:,:,"34,52",:,"3.454,85","0,54",:,:,"227,68",:,:,"22,08",:,:,:,"1.518,99",:,:,"72,00"
2007-05,FR,:,"513,24",:,"2,91","90,50","13.701,72","4.388,11",:,"3,46","158,49","17.364,51",:,:,"18.196,25","419,06","13.791,33",:,"1.251,51",:,"2,70","39.935,96",:,"1.437,34",:,"0,02",:,:,"1.158,14"
2007-05,HR,:,:,:,:,"21,90","1.868,62",:,:,:,:,"1.323,07","261,08",:,"2.178,66",:,:,:,:,:,:,"14,80",:,:,:,"4,59",:,:,:
2007-05,HU,:,"0,29","19,50",:,"290,36","15.707,83","45,90",:,"22,89","53,19","2.769,05","667,82",:,:,"9,89","45,90",:,"30,45",:,:,"183,07","46,70","41,86","17,53","0,29",:,"285,60","221,68"
2007-05,IE,:,"1,01",:,:,"32,32","4.606,29","1,27",:,:,:,"3.224,16","28,18",:,"5.261,65",:,:,:,"27,46",:,:,"3.494,86",:,:,:,:,:,:,"2.595,89"
2007-05,IT,:,"15,36",:,:,"2.511,38","33.782,17","3.437,60",:,:,"1.421,59","32.369,04","23.950,29",:,"6.406,57","1.722,57",:,:,"913,51",:,"4,28","14.628,10",:,"161,84",:,"1,41","72,34",:,"2.756,40"
2007-05,LT,:,:,:,:,"17,60","1.599,98","27,70",:,:,:,"2.438,72",:,:,"1.135,96",:,:,:,"9,53","483,25",:,"21,52","48,61","16,15",:,"1.181,85",:,:,"477,06"
2007-05,LU,:,"333,82",:,:,:,"6.190,90","61,15",:,:,"3,92","78,44","1.182,96",:,"76,79",:,"313,60",:,:,:,:,"2.342,00",:,:,:,:,:,:,"262,21"
2007-05,LV,:,:,:,:,"266,60","1.425,87","5,30","1.505,63",:,:,"1.501,82","1,97",:,"527,53",:,:,"1.043,05","19,45",:,:,"26,57","1,60",:,:,"1.299,05",:,:,"366,94"
2007-05,MT,:,:,:,:,:,"50,89","3,43","0,86",:,:,"49,26","102,04",:,"40,19",:,"16,37",:,"4,76",:,:,"74,05",:,:,:,:,:,:,"6,43"
2007-05,NL,:,"2.849,77",:,:,"33,85","11.272,71","3.134,26",:,"3,66","172,87","13.923,80","2.601,85",:,"8.439,52","211,04",:,"0,08","1.909,36",:,:,:,"2,32","8,35","242,02","11,59",:,"3,16","1.512,49"
2007-05,PL,:,"0,40",:,:,"1.332,21","12.860,07","384,83",:,:,"311,64","12.514,21","2.482,68",:,"9.303,53","10,31","0,30","26,12","21,63",:,:,"476,70",:,:,:,"15,80",:,"217,55","421,49"
2007-05,PT,:,"506,87",:,:,:,"3.924,12","554,71",:,:,"412,10","6.754,43","2.470,27",:,"3.832,24","1,10","229,54",:,"8,84",:,:,"8.992,13",:,:,:,"1,19",:,:,"131,75"
2007-05,RO,:,"579,07","160,58",:,"21,33","7.013,80","138,93",:,:,"3,37","3.830,66","1.340,05",:,"5.019,81","0,42","2,15",:,:,:,:,"98,61",:,"7,15",:,:,:,"25,09","24,79"
2007-05,SE,:,"1,25",:,:,"341,58","2.283,71","837,54",:,:,:,"8.058,08","318,76",:,"3.719,41","2,51","432,00","0,82","41,06",:,:,"206,05","73,41",:,:,:,:,:,"338,33"
2007-05,SI,:,:,:,:,"15,09","1.548,24","25,85",:,:,:,"1.581,79","2,90",:,"623,65",:,"0,49",:,"0,74",:,:,"37,78",:,:,:,:,:,:,"3,65"
2007-05,SK,:,"0,06",:,:,"939,26","1.042,72",:,:,:,:,"989,35","109,10",:,"4.595,62",:,"26,01",:,"4,45",:,:,"204,37","69,41",:,:,:,:,:,"169,59"
2007-05,UK,:,"97,25",:,"8,31","329,01","42.711,40","1.247,66",:,:,"53,58","76.950,14","6.508,36",:,"29.312,03","1.555,14","449,52",:,"1.615,32",:,"1,08","74.599,26","0,15","524,24","1.090,21","21,99",:,:,:
2007-06,AT,:,"33,38","29,80",:,"16,14","7.135,99","265,82",:,:,"0,53","2.388,15","888,16",:,"4.615,90","3,65","3.775,09",:,"176,75",:,:,"3.449,46",:,:,:,"0,81",:,"234,81","420,26"
2007-06,BE,:,:,:,:,"7,53","1.329,10","1.064,45",:,:,:,"2.090,17","959,69",:,"7.628,15","3,84","0,72",:,"826,74",:,:,"13.179,58",:,"137,29",:,:,:,:,"67,09"
2007-06,BG,:,:,:,:,"209,35","687,35","31,22",:,"325,52",:,"1.022,26","63,37",:,"1.647,07",:,"0,41",:,"54,52","220,61",:,"124,78",:,:,"11,79",:,:,:,"48,39"
2007-06,CY,:,"0,12",:,:,"0,49","157,57","31,18",:,"22,28",:,"147,38","313,07",:,"124,18",:,"276,52",:,"11,32",:,:,"1,06",:,:,:,:,:,:,"28,70"
2007-06,CZ,:,"5,23",:,:,:,"3.978,41","119,91",:,:,:,"5.407,28","82,95",:,"37.369,50","0,30","1.539,05",:,"202,61",:,"0,39","280,11","474,33","3,28","752,75",:,:,"271,23","293,02"
2007-06,DE,:,"2.723,92","251,75",:,"133,86",:,"5.953,25","32,69",:,"2,38","52.086,07","5.135,37",:,"39.369,07","587,01","2.430,32",:,"2.118,36",:,:,"48.861,73","1.804,59","42,43",:,"6,68",:,"6,27","6.213,62"
2007-06,DK,:,"23,16",:,:,"0,30","5.920,61",:,:,"3,07",:,"9.364,21","300,06",:,"2.767,78","15,39","0,93",:,"41,01","65,10",:,"282,43","542,31",:,:,"11.190,48",:,:,"591,59"
2007-06,EE,:,:,:,:,"216,01","1.521,19","7,00",:,:,:,"1.383,80","28,50",:,"408,44",:,:,"165,00","6,22","1.553,25",:,"0,25","0,57",:,:,"1.279,83",:,:,"1,36"
2007-06,EL,:,"4,07",:,"188,23","131,47","13.180,09","1.659,72",:,:,:,"8.079,25","662,25",:,"3.154,63","0,37","4,65",:,"15,77",:,:,"13,53",:,:,:,"29,56",:,:,"77,24"
2007-06,ES,:,"22,95",:,:,"451,96","65.784,57","4.356,60",:,:,:,"25.119,66","5.481,38",:,"25.273,72","867,74","2.748,36",:,"1.607,66",:,:,"30.029,00","28,58","219,21",:,"3,59",:,:,"1.733,33"
2007-06,FI,:,"14,34",:,:,"9,38","24.400,54","106,96","365,27",:,:,:,"7,60",:,"4.507,99","0,35",:,:,"112,92",:,:,"6,45",:,:,:,"1.016,75",:,"0,54","31,31"
2007-06,FR,:,"1.182,26",:,:,"50,64","18.592,00","6.731,38",:,"21,62","2.340,82","15.285,02",:,:,"16.424,63","389,99","12.922,60",:,"1.706,50",:,"1,65","39.721,77","189,97","1.226,34",:,"64,43",:,:,"1.499,15"
2007-06,HR,:,:,:,:,"128,28","4.483,94","0,63",:,:,:,"2.744,10","6,07",:,"2.520,49",:,:,:,:,:,:,"1,74",:,:,:,"1,86","0,00",:,:
2007-06,HU,:,"0,46","10,35",:,"308,00","9.143,09","25,87",:,"24,96","2,91","2.475,21","586,04",:,:,:,"112,85",:,"83,88",:,:,"123,52","31,74","23,37","127,63","0,66",:,"0,03","1.350,17"
2007-06,IE,:,"2,46",:,:,:,"6.759,44","84,83",:,"2,94",:,"2.196,00","635,58",:,"6.001,11",:,"1,50",:,"20,43",:,:,"2.945,76","0,53",:,:,:,:,:,"3.251,44"
2007-06,IT,:,"10,72","279,50",:,"4.152,38","36.431,88","4.918,36",:,:,"2.740,00","45.565,63","21.775,18",:,"14.267,14","598,41",:,:,"3.013,99",:,"6,92","16.801,46",:,"75,16",:,"1,42",:,:,"3.455,14"
2007-06,LT,:,:,:,"21,00","27,32","1.735,17","43,60","1,66",:,:,"2.005,62",:,:,"1.216,85",:,:,:,"72,91","554,78",:,"199,65","109,03","28,38",:,"1.578,69",:,:,"313,17"
2007-06,LU,:,"738,55",:,:,:,"1.353,08","19,20",:,:,:,"107,15","476,75",:,"75,28",:,"0,44",:,:,:,:,"5.502,28",:,"93,92",:,:,:,:,:
2007-06,LV,:,"0,86",:,:,"264,45","3.086,52","6,44","1.300,26",:,:,"1.244,24","16,70",:,"554,58",:,"0,42","1.195,85","12,48",:,:,"77,14","25,51",:,:,"891,50",:,:,"290,87"
2007-06,MT,:,:,:,:,:,"134,44",:,:,:,:,"14,14","55,00",:,"35,17",:,"96,32",:,"36,17",:,:,"2,62",:,:,:,:,:,:,"0,12"
2007-06,NL,:,"2.871,48",:,:,"102,19","4.223,61","3.095,57",:,:,"171,55","12.761,55","2.038,08",:,"7.976,32","119,25","219,98",:,"1.807,35",:,:,:,"0,64","7,82","35,08","91,55",:,"1,79","843,06"
2007-06,PL,:,"0,17",:,:,"1.175,13","8.360,04","419,20",:,:,"73,89","7.876,08","984,87",:,"9.489,89",:,:,"61,50","80,59",:,:,"564,88",:,"4,00","61,43","0,23",:,"274,40","47,87"
2007-06,PT,:,:,:,:,"111,12","9.892,20","1.687,75",:,:,"281,14","5.985,47","1.384,89",:,"6.873,63",:,"116,62",:,"589,87",:,:,"4.760,11","0,15",:,:,"71,59",:,:,"125,57"
2007-06,RO,:,"0,06","214,19",:,"15,14","4.094,30","97,91",:,"51,80",:,"2.731,36","720,06",:,"3.121,47",:,"23,40",:,"54,40",:,:,"29,36",:,"9,43",:,:,:,"30,95","31,74"
2007-06,SE,:,"1,68",:,:,"189,53","3.191,41","827,66",:,"0,68",:,"12.162,78","155,99",:,"4.044,83","1,96","0,42",:,"93,93",:,:,"421,88","316,81","0,36",:,:,:,:,"127,93"
2007-06,SI,:,:,:,:,"10,43","2.619,27","31,36",:,:,:,"2.045,15","0,54",:,"577,69",:,"0,12",:,"66,29",:,:,"82,20","40,89",:,:,:,:,:,"4,30"
2007-06,SK,:,"0,70",:,:,"475,02","3.468,84",:,:,:,:,"1.276,66","74,28",:,"4.710,49",:,"188,21",:,"6,51",:,:,"344,56","227,31",:,:,:,:,:,"60,82"
2007-06,UK,:,"54,06",:,"5,23","266,41","46.906,01","1.744,38",:,:,"646,66","82.900,35","7.009,28",:,"34.727,88","6.732,48","217,48",:,"1.796,77",:,"1,87","70.044,19","219,79","1.238,15","1.606,34","63,67",:,:,:
2007-07,AT,:,"21,66",:,:,"1,90","4.925,29","205,13",:,:,:,"4.618,90","2.689,01",:,"8.292,57","11,84","2.446,68",:,"11,35",:,:,"4.294,75",:,:,:,"1,09",:,"230,04","826,76"
2007-07,BE,:,:,:,:,"5,66","1.014,29","799,36",:,:,:,"1.692,49","819,85",:,"4.633,09","4,73","0,07",:,"1.022,99",:,:,"9.982,32",:,"45,38",:,"0,00",:,:,"436,53"
2007-07,BG,:,:,:,"3,80","167,78","1.142,84","26,18",:,"54,87",:,"516,80","151,02",:,"1.613,67",:,:,:,"39,61",:,:,"110,53","44,75","30,75","22,41",:,:,:,"196,24"
2007-07,CY,:,"0,12",:,:,"1,25","267,09","43,37",:,"53,17",:,"223,24","352,33",:,"132,97",:,:,:,"23,81",:,:,"126,78","94,95",:,:,:,:,:,"255,84"
2007-07,CZ,:,"3,19",:,:,:,"2.631,59","75,30",:,:,"83,36","4.391,57","156,53",:,"30.509,93",:,"1.515,85",:,"290,95",:,"0,15","473,01","517,80","6,32","438,66",:,:,"642,38","911,15"
2007-07,DE,:,"2.150,50","203,82",:,"147,21",:,"7.613,45","49,32",:,"48,01","66.479,27","5.992,64",:,"42.265,04","772,88","1.218,34","181,16","3.582,91",:,:,"25.282,99","1.293,25","180,42","6,00","6,70",:,:,"5.042,50"
2007-07,DK,:,"0,99",:,:,:,"4.499,13",:,:,:,:,"6.283,34","596,89",:,"3.303,38","7,64","0,54",:,"739,63",:,:,"45,52","12,88",:,:,"8.419,00",:,:,"322,04"
2007-07,EE,:,:,:,:,"204,83","2.752,46","2,35",:,:,:,"1.076,81",:,:,"512,30",:,:,"209,25","10,43","611,67",:,"0,48",:,:,:,"560,04",:,:,"12,62"
2007-07,EL,:,"1,37","1,74","169,61","223,36","7.521,10","746,91",:,:,"0,06","10.275,49","452,13",:,"3.742,94","0,73","16,19",:,"21,99",:,:,"32,87","8,42",:,:,"0,37",:,:,"13,23"
2007-07,ES,:,"40,20",:,:,"423,70","41.360,98","4.824,79",:,:,:,"41.522,30","6.418,40",:,"33.747,46","300,51","6.857,00",:,"773,85",:,:,"26.328,36","167,10","192,48",:,"1,54",:,:,"723,28"
2007-07,FI,:,"6,08",:,:,"147,65","28.849,42","2.207,02","137,60",:,:,:,"4,72",:,"6.103,01","0,35",:,"13,15","120,43",:,:,"42,77","1,01",:,"8,16","1.008,62",:,"0,34","1,10"
2007-07,FR,:,"2.151,82",:,:,"31,49","13.743,84","5.512,00",:,"2,86","270,44","9.251,16",:,:,"16.152,85","194,72","19.488,35",:,"1.269,10",:,"2,27","43.617,41","0,22","1.197,13",:,"0,03",:,:,"2.147,38"
2007-07,HR,:,:,:,:,"103,18","1.350,16","18,33",:,:,:,"1.207,50","6,68",:,"783,01",:,:,:,:,:,:,"3,48",:,:,:,"9,98",:,:,:
2007-07,HU,:,"0,51",:,:,"323,38","21.114,00","21,79",:,"17,32","3,70","1.943,04","1.195,21",:,:,"2,51","0,67",:,"49,38",:,:,"215,23","36,30","98,15","162,08","0,23",:,"0,05","1.456,27"
2007-07,IE,:,"1,24",:,:,"18,28","4.697,58","1,01",:,"0,73","32,62","4.568,85","200,09",:,"8.265,91",:,"0,68",:,"31,23",:,:,"2.576,52",:,:,:,"0,00",:,:,"3.320,12"
2007-07,IT,:,"30,50",:,:,"5.081,34","16.663,60","4.332,90",:,:,"5.839,43","57.648,73","26.034,70",:,"13.968,03","151,93",:,:,"2.997,34",:,"5,29","13.606,98",:,"180,26",:,"0,86","204,49",:,"3.040,41"
2007-07,LT,:,:,:,"12,61","42,80","4.158,02","25,84","0,62",:,:,"1.869,20",:,:,"2.272,54",:,:,:,"22,59","987,95",:,"372,08","9,75","2,36",:,"2.255,81",:,:,"231,61"
2007-07,LU,:,"586,77",:,:,"67,53","5.445,43","17,46",:,:,:,"146,10","823,25",:,"102,04","0,35","258,09",:,:,:,:,"11.848,83","92,21","147,31",:,:,:,:,:
2007-07,LV,:,"0,66",:,:,"294,60","5.327,25","8,87","1.830,51",:,:,"1.117,83","27,92",:,"665,51",:,:,"1.092,60","25,58",:,:,"45,50","39,82",:,:,"819,38",:,:,"61,44"
2007-07,MT,:,:,:,:,:,"11,69","5,95",:,:,:,"129,90","2,08",:,"26,37",:,"0,86",:,"24,79",:,:,"35,00",:,:,:,:,:,:,"1,80"
2007-07,NL,:,"3.256,83",:,:,"54,62","5.168,24","6.937,85",:,:,"82,28","14.185,62","1.177,99",:,"5.519,27","132,08","68,80",:,"2.661,28",:,:,:,"0,73","68,15","90,88","7,86",:,"3,54","3.582,28"
2007-07,PL,:,"0,17",:,:,"914,33","6.796,96","351,88",:,:,"155,29","13.666,93","1.078,98",:,"29.641,16","3,41","38,08",:,"150,97",:,:,"1.360,95",:,"21,90","94,50","0,11",:,"215,01","356,52"
2007-07,PT,:,"439,64",:,:,"3,62","3.223,56","509,25",:,:,"224,56","14.619,96","2.864,19",:,"7.715,12","2,53","89,09",:,"655,19",:,:,"7.479,72",:,:,:,"0,97",:,:,"0,57"
2007-07,RO,:,"290,39","473,93",:,"220,85","5.835,23","66,82",:,:,"3,37","3.144,72","645,01",:,"4.804,33",:,"455,14",:,"72,81",:,:,"74,49",:,"2,67",:,:,:,"186,71","6,89"
2007-07,SE,:,"3,77",:,:,"82,25","1.388,99","1.301,45",:,"0,43",:,"8.992,99","23,53",:,"2.143,15","1,74","0,18",:,"239,18",:,:,"549,27","603,85",:,:,:,:,:,"326,38"
2007-07,SI,:,"0,06",:,:,"13,53","1.709,01","152,81",:,:,:,"2.430,36","6,55",:,"563,06",:,"0,80",:,"18,30",:,:,"52,43",:,:,:,:,:,:,"263,05"
2007-07,SK,:,"0,23",:,:,"577,82","2.956,82",:,:,:,:,"1.442,20","101,15",:,"4.729,30",:,"1.138,78",:,"32,78",:,:,"280,50","209,14",:,:,:,:,:,"186,48"
2007-07,UK,:,"137,89",:,:,"122,57","35.410,55","1.224,45",:,:,"61,12","75.575,54","8.300,51",:,"29.492,94","4.552,55","1.002,28","98,80","2.520,08",:,"1,00","39.225,11","162,02","1.133,45","168,52","4,94",:,"31,37",:
2007-08,AT,:,"12,64","0,40",:,"3,35","3.570,43","247,10",:,:,:,"3.010,01","1.186,14",:,"7.158,31","3,28","498,83",:,"10,37",:,:,"6.326,44","31,39",:,:,"1,24","0,46","212,01","672,85"
2007-08,BE,:,:,:,:,"3,00","707,62","918,13",:,:,:,"1.056,74","966,64",:,"3.490,71","7,21","1,33",:,"1.101,72",:,:,"4.089,52",:,:,:,"0,19",:,"14,53","46,78"
2007-08,BG,:,:,:,:,"164,28","5.704,50","61,05",:,"851,64",:,"1.614,93","141,45",:,"2.060,12",:,:,:,"43,44",:,:,"164,67",:,:,"15,66",:,:,"36,75","132,03"
2007-08,CY,:,"0,17",:,:,:,"281,53","36,32","120,11","15,16",:,"75,69","704,10",:,"283,76",:,:,:,"17,86",:,:,"728,26","94,34",:,"196,44",:,:,:,"59,78"
2007-08,CZ,:,"2,32",:,:,:,"2.912,09","316,31",:,:,"61,16","4.858,95","81,09",:,"20.534,33","431,95","453,34",:,"220,88",:,"5,32","278,87","308,19","20,41","115,64",:,"0,08","678,52","1.090,40"
2007-08,DE,:,"262,67","553,63",:,"499,61",:,"6.837,31",:,:,"1,27","49.339,16","9.687,68",:,"44.018,92","1.392,62","42,48","244,00","1.547,26",:,"0,15","37.524,28","1.851,38","611,62","75,72","5,73",:,"172,56","5.877,25"
2007-08,DK,:,"3,17",:,:,"1,90","6.383,72",:,:,:,:,"5.487,59","31,35",:,"5.906,02","49,80","245,57",:,"77,42",:,:,"58,77","265,04",:,:,"9.486,96",:,"22,56","299,42"
2007-08,EE,:,"0,05",:,:,"134,08","586,82","1,22",:,:,:,"1.238,61",:,:,"592,61",:,:,"231,80","1,74","1.251,86",:,"1,19","0,07",:,:,"1.099,68",:,:,"10,04"
2007-08,EL,:,:,"0,64","187,06","420,73","6.229,35","537,06",:,:,:,"3.322,42","754,62",:,"3.542,32",:,"2,48",:,"102,01",:,:,"17,40","333,36",:,"18,61","0,88",:,:,"91,90"
2007-08,ES,:,"16,86","674,92",:,"358,21","31.604,90","4.152,83",:,:,:,"16.376,91","6.036,99",:,"18.596,70","144,15","1.612,44",:,"472,33",:,:,"18.774,27","14,40","37,03",:,"1,66",:,"5,47","391,68"
2007-08,FI,:,"13,42",:,:,"26,98","26.149,31","103,31","0,08",:,:,:,"12,97",:,"4.533,41",:,:,:,"29,50",:,:,"5,59",:,:,:,"1.468,22",:,:,"9,47"
2007-08,FR,:,"2.163,52",:,:,"37,35","15.308,18","4.621,77",:,"0,41","98,46","13.068,87",:,:,"23.454,99","1.094,75","5.120,66",:,"362,26",:,"2,12","43.583,00","1,31","115,86",:,"24,08",:,"40,94","894,10"
2007-08,HR,:,:,:,:,"114,09","1.501,72","74,14",:,:,:,"693,61",:,:,"1.558,80",:,:,:,:,:,:,:,:,:,:,"10,58","0,92",:,"9,88"
2007-08,HU,:,"1,30","1,08",:,"461,55","9.541,42","28,06",:,"19,99","3,03","1.747,23","2.455,30",:,:,:,"0,24",:,"35,70",:,:,"65,02","39,86","129,37","7,63","1,40",:,"999,29","1.972,26"
2007-08,IE,:,"1,16",:,:,"15,32","4.562,99","1,91",:,:,:,"3.715,88","363,23",:,"5.667,20",:,:,:,"26,90",:,:,"3.057,20",:,:,:,"0,01",:,:,"1.879,85"
2007-08,IT,:,"7,11","28,92",:,"2.870,03","12.439,58","3.640,94",:,:,"508,54","22.368,86","13.366,82",:,"9.617,49","73,61",:,:,"843,21",:,"6,26","4.294,99",:,:,"54,58","1,33","0,53","0,85","1.654,61"
2007-08,LT,:,:,:,:,"60,63","3.718,97","40,40",:,:,"11,63","1.438,85",:,:,"1.621,85",:,"0,34",:,"2,53","865,65",:,"364,87","90,81","4,93",:,"1.863,68",:,:,"686,55"
2007-08,LU,:,"784,30",:,:,:,"1.655,01","19,83",:,:,:,"93,66","960,51",:,"91,37",:,"0,07",:,:,:,:,"9.102,38",:,:,:,:,:,:,:
2007-08,LV,:,"0,10",:,:,"327,48","4.478,08","14,17","1.051,64",:,:,"810,23","13,57",:,"909,20",:,:,"1.264,89","1,42",:,:,"142,27","64,67","2,79",:,"699,12",:,:,"125,20"
2007-08,MT,:,"0,06",:,:,:,"9,84","5,76",:,:,:,"160,47","0,41",:,"59,87",:,"4,23",:,"25,98",:,:,"4,13",:,"5,23",:,:,:,:,"0,61"
2007-08,NL,:,"2.682,59",:,:,"163,80","1.780,52","2.772,67",:,:,"56,75","9.825,29","1.672,64",:,"4.407,11","62,74",:,:,"2.101,22",:,:,:,"8,55","26,02",:,"9,06",:,"58,98","527,28"
2007-08,PL,:,"0,44",:,:,"992,00","8.421,93","679,31",:,:,"324,70","9.412,63","3.280,60",:,"13.796,61","7,61",:,:,"140,20",:,:,"1.326,12",:,:,"0,31","0,92",:,"526,40","83,27"
2007-08,PT,:,:,:,:,:,"2.437,91","584,33",:,:,"57,77","15.910,55","1.176,67",:,"4.920,53","0,37","44,41",:,"2,12",:,:,"5.313,79","24,11",:,:,"0,42",:,"29,04","100,19"
2007-08,RO,:,"204,96","91,11",:,"133,26","8.246,16","76,50",:,:,"0,56","4.058,94","740,83",:,"6.229,89",:,"184,50",:,"48,03",:,:,"157,73","0,65","31,08",:,"0,09",:,"133,38","45,73"
2007-08,SE,:,"0,28",:,:,"195,80","1.689,09","741,28",:,:,:,"4.582,58","140,15",:,"3.773,93","2,00",:,:,"77,26",:,:,"702,28","733,09",:,:,:,:,"15,78","306,40"
2007-08,SI,:,"0,06",:,:,"17,94","1.403,88","25,04",:,:,:,"1.412,21","27,55",:,"570,37",:,"0,52",:,"3,65",:,:,"57,56",:,:,:,:,:,:,"180,72"
2007-08,SK,:,"0,35",:,:,"780,99","5.746,62",:,:,:,:,"1.249,09","177,21",:,"4.924,74",:,"577,04",:,"22,77",:,:,"217,99","0,75",:,:,:,:,:,"21,56"
2007-08,UK,:,"348,59",:,:,"155,99","40.254,99","1.267,45",:,:,"10,11","54.377,51","5.623,75",:,"29.624,41","4.451,14","691,20","249,30","2.513,16",:,"1,62","57.490,76","18,12","326,03","7,57","5,96",:,:,:
2007-09,AT,:,"73,68",:,:,"1.050,79","5.074,91","648,54",:,"1.133,08",:,"1.011,01","2.467,58",:,"4.333,37","1,46","1.643,28",:,"32,91",:,:,"5.491,98","82,84",:,"30,16","0,48","0,45","383,28","674,51"
2007-09,BE,:,:,:,:,"455,95","1.470,70","1.427,00",:,:,:,"1.132,34","812,42",:,"3.353,46","6,61","0,46",:,"499,89",:,:,"6.015,64","0,28",:,:,"0,25",:,"136,87","39,14"
2007-09,BG,:,"0,06",:,:,"119,02","2.363,21","32,20",:,"294,79",:,"769,53","266,55",:,"2.186,21",:,:,:,"187,75","17,25",:,"419,87",:,:,:,:,:,"68,07","105,63"
2007-09,CY,:,"0,12",:,:,"1,60","1.318,37","91,04",:,"111,67",:,"143,06","176,78",:,"370,16",:,:,:,"1,91","0,62",:,"444,96",:,:,:,:,:,:,"9,83"
2007-09,CZ,:,"1,16",:,:,:,"4.192,67","419,39",:,:,:,"3.769,62","246,03",:,"27.428,00","75,63","282,89",:,"104,89","25,90","0,15","113,79","199,64","45,34","353,18",:,:,"462,67","846,12"
2007-09,DE,:,"151,20","155,84",:,"5.986,42",:,"7.032,80","21,75",:,"0,59","35.852,26","9.241,61",:,"52.130,69","218,37","1.100,41","10,60","2.695,47",:,"0,17","58.367,93","2.379,70","105,05","29,13","3,23",:,"251,26","6.514,93"
2007-09,DK,:,"3,17",:,:,"147,10","5.881,46",:,:,"0,39",:,"4.284,01","3,61",:,"4.931,39","12,60","444,45",:,"216,77",:,:,"151,80","568,53",:,:,"12.461,88",:,"215,36","261,84"
2007-09,EE,:,:,:,:,"6,20","494,37","2,82",:,:,:,"650,43","0,89",:,"623,33",:,:,"56,80","2,05","670,23",:,"19,00",:,:,:,"1.170,42",:,:,"19,03"
2007-09,EL,:,"1,10","2,32","252,64","738,17","12.077,53","600,89",:,:,:,"4.201,04","569,28",:,"2.773,96",:,"6,43",:,"22,68",:,:,"41,74","104,28",:,:,"217,22",:,:,"22,30"
2007-09,ES,:,"842,88",:,:,"5.386,47","55.182,95","4.906,21",:,:,:,"13.556,70","11.060,41",:,"18.328,82","635,21","1.681,35",:,"936,64",:,:,"15.360,00","19,50","101,59","29,10","1,36",:,"69,53","861,75"
2007-09,FI,:,:,:,:,"405,68","24.550,27","385,73","8,55",:,:,:,"6,72",:,"4.372,37","0,34","10,36",:,"21,23",:,:,"7,45",:,:,:,"1.330,00",:,:,"21,87"
2007-09,FR,:,"976,17",:,:,"5.106,71","15.388,79","5.447,63",:,"4,20","38,66","16.851,06",:,:,"18.820,90","319,13","7.473,50",:,"1.394,86",:,"1,20","53.800,06","3,54","182,60",:,"0,08",:,"81,48","1.366,97"
2007-09,HR,:,:,:,:,"112,85","1.135,50",:,:,:,:,"1.261,81","7,05",:,"1.318,43",:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-09,HU,:,"0,55",:,:,"472,36","12.982,04","26,65",:,"21,68","37,20","1.201,44","577,93",:,:,"6,17",:,:,"13,83",:,:,"45,49",:,"100,18","70,65","0,98",:,"238,21","414,64"
2007-09,IE,:,"6,12",:,:,"134,35","10.566,61",:,:,:,:,"3.830,23","274,51",:,"4.789,31",:,"0,03",:,"18,49",:,:,"2.864,27",:,:,:,"0,01",:,:,"2.887,26"
2007-09,IT,:,"56,86","160,25",:,"12.067,24","44.845,31","3.845,89",:,:,"1.865,28","7.685,69","12.034,51",:,"12.269,10","75,15",:,:,"6.699,78",:,"4,02","8.042,84",:,"273,95","48,88","1,97",:,"2,96","5.262,54"
2007-09,LT,:,:,:,:,"56,70","1.662,93","47,36","9,90",:,"23,70","1.299,68",:,:,"2.185,54",:,:,:,"6,25","448,51",:,"137,00","38,16","17,00",:,"1.520,89",:,:,"485,14"
2007-09,LU,:,"702,65",:,:,"54,77","2.528,16","19,75",:,:,:,"47,63","711,89",:,"56,58",:,"349,58",:,:,:,:,"4.429,57",:,"87,14",:,"1,17",:,:,"23,10"
2007-09,LV,:,:,:,:,"182,23","796,10","6,63","1.070,98",:,:,"457,29","0,63",:,"724,49","0,81",:,"969,24","15,56",:,:,"109,12","28,54","6,50",:,"703,97",:,:,"100,48"
2007-09,MT,:,:,:,:,:,"89,02","3,72",:,:,:,"10,39","0,35",:,"43,75",:,"25,82",:,"26,68",:,:,"2,54",:,"4,88",:,:,:,:,"0,03"
2007-09,NL,:,"2.326,91","0,14",:,"1.545,14","5.277,45","3.147,90",:,:,"102,00","4.751,22","1.060,89",:,"4.550,89","987,76",:,:,"2.258,28",:,:,:,"58,06","24,52","31,27","9,32",:,"204,45","1.219,56"
2007-09,PL,:,"0,11",:,:,"1.570,39","20.173,32","704,75",:,:,"225,97","7.759,09","2.435,36",:,"15.800,36","2,47","76,83",:,"435,32",:,:,"1.182,59",:,:,:,"1,11",:,"479,77","276,35"
2007-09,PT,:,:,:,:,"0,74","5.148,93","611,57",:,:,"337,26","10.612,09","1.847,66",:,"4.937,42","0,37","0,07",:,"54,43",:,:,"1.882,97","11,12",:,:,"18,65",:,"152,87","92,80"
2007-09,RO,:,"258,23","315,91",:,"312,54","15.031,02","90,37",:,"2,71",:,"2.884,19","2.078,66",:,"7.664,93",:,"598,68",:,"70,62",:,:,"66,32","0,15","55,07",:,"0,09",:,"241,01","64,80"
